0	[]
1	[(6, 11)]
2	[(6, 9)]
3	[(4, 11), (6, 9)]
4	[(6, 9), (6, 11)]
5	[(4, 11)]
6	[(4, 9)]
7	[(2, 11), (4, 9)]
8	[(4, 11), (6, 9), (6, 11)]
9	[(4, 11), (6, 11)]
10	[(2, 11)]
11	[(4, 9), (6, 9)]
12	[(2, 11), (4, 9), (6, 9)]
13	[(2, 9)]
14	[(0, 11), (2, 9)]
15	[(4, 9), (4, 11), (6, 9)]
16	[(4, 9), (4, 11)]
17	[(2, 11), (6, 9)]
18	[(0, 11)]
19	[(2, 11), (6, 11)]
20	[(2, 9), (6, 9)]
21	[(0, 11), (2, 9), (6, 9)]
22	[(0, 9)]
23	[(0, 9), (0, 11)]
24	[(2, 11), (4, 9), (4, 11)]
25	[(2, 11), (4, 11)]
26	[(2, 11), (4, 9), (4, 11), (6, 9)]
27	[(2, 9), (4, 9)]
28	[(0, 11), (2, 9), (4, 9)]
29	[(2, 11), (4, 11), (6, 9)]
30	[(0, 11), (6, 9)]
31	[(2, 11), (4, 11), (6, 9), (6, 11)]
32	[(0, 9), (2, 11), (4, 11), (6, 11)]
33	[(0, 9), (6, 11)]
34	[(0, 11), (6, 11)]
35	[(0, 9), (6, 9)]
36	[(0, 9), (0, 11), (6, 9)]
37	[(2, 9), (2, 11), (4, 9)]
38	[(2, 11), (4, 11), (6, 11)]
39	[(2, 11), (6, 9), (6, 11)]
40	[(2, 9), (2, 11)]
41	[(0, 11), (4, 9)]
42	[(2, 9), (2, 11), (6, 9)]
43	[(0, 11), (4, 9), (6, 9)]
44	[(0, 9), (4, 11), (6, 11)]
45	[(0, 11), (6, 9), (6, 11)]
46	[(0, 11), (4, 11)]
47	[(0, 11), (4, 11), (6, 9)]
48	[(0, 9), (4, 9)]
49	[(0, 9), (0, 11), (4, 9)]
50	[(0, 11), (4, 11), (6, 9), (6, 11)]
51	[(0, 11), (4, 11), (6, 11)]
52	[(0, 9), (2, 11)]
53	[(0, 11), (2, 9), (2, 11)]
54	[(0, 11), (2, 11)]
55	[(0, 11), (2, 9), (2, 11), (6, 9)]
56	[(0, 9), (2, 9)]
57	[(0, 9), (0, 11), (2, 9)]
58	[(0, 11), (2, 9), (2, 11), (4, 9)]
59	[(0, 11), (2, 11), (6, 9)]
60	[(0, 11), (2, 11), (6, 9), (6, 11)]
61	[(0, 11), (2, 11), (6, 11)]
62	[(0, 9), (0, 11), (2, 11)]
63	[(0, 11), (2, 11), (4, 9)]
64	[(0, 11), (2, 11), (4, 9), (6, 9)]
65	[(0, 11), (2, 11), (4, 9), (4, 11)]
66	[(0, 11), (2, 11), (4, 9), (4, 11), (6, 9)]
67	[(0, 11), (2, 11), (4, 11)]
68	[(0, 11), (2, 11), (4, 11), (6, 9)]
69	[(0, 9), (0, 11), (2, 11), (4, 11)]
70	[(0, 11), (4, 9), (4, 11)]
71	[(0, 11), (4, 9), (4, 11), (6, 9)]
