#ncounts	stability	slowest(tau1)	next-slowest(tau2)	var(eval1)	resample?(e1)	var(eval2)	resample?(e2)
15037	   0.000	-500399958596722.25000000	-4503599627370497.00000000 tCounts.uniform.microT_AAAAAA.1.0.mtx
30074	   0.000	-4503599627370497.00000000	-4503599627370497.00000000 tCounts.uniform.microT_AAAAAA.1.1.mtx
45111	   0.000	-750599937895083.12500000	-750599937895083.12500000 tCounts.uniform.microT_AAAAAA.1.2.mtx
60148	   0.000	-643371375338642.75000000	-1501199875790165.75000000 tCounts.uniform.microT_AAAAAA.1.3.mtx
75185	   0.000	-2251799813685248.50000000	-2251799813685248.50000000 tCounts.uniform.microT_AAAAAA.1.4.mtx
90222	   0.000	             nan	1125899906842623.50000000 tCounts.uniform.microT_AAAAAA.1.5.mtx
105259	   0.000	-900719925474099.62500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.6.mtx
120296	   0.000	-1125899906842624.50000000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.7.mtx
135333	   0.000	-750599937895083.12500000	-900719925474099.62500000 tCounts.uniform.microT_AAAAAA.1.8.mtx
150370	   0.000	-900719925474099.62500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.9.mtx
165407	   0.000	-500399958596722.25000000	-1501199875790165.75000000 tCounts.uniform.microT_AAAAAA.1.10.mtx
180444	   0.000	-643371375338642.75000000	-2251799813685248.50000000 tCounts.uniform.microT_AAAAAA.1.11.mtx
195481	   0.000	-900719925474099.62500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.12.mtx
210518	   0.000	-750599937895083.12500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.13.mtx
225555	   0.000	-1125899906842624.50000000	-2251799813685248.50000000 tCounts.uniform.microT_AAAAAA.1.14.mtx
240592	   0.000	-1125899906842624.50000000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.15.mtx
255629	   0.000	-900719925474099.62500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.16.mtx
270666	   0.000	-1125899906842624.50000000	-2251799813685248.50000000 tCounts.uniform.microT_AAAAAA.1.17.mtx
285703	   0.000	-450359962737050.06250000	-750599937895083.12500000 tCounts.uniform.microT_AAAAAA.1.18.mtx
300740	   0.000	-643371375338642.75000000	-2251799813685248.50000000 tCounts.uniform.microT_AAAAAA.1.19.mtx
315777	   0.000	-409418147942772.87500000	-450359962737050.06250000 tCounts.uniform.microT_AAAAAA.1.20.mtx
330814	   0.000	-1125899906842624.50000000	-1501199875790165.75000000 tCounts.uniform.microT_AAAAAA.1.21.mtx
345851	   0.000	-500399958596722.25000000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.22.mtx
360888	   0.000	-900719925474099.62500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.23.mtx
375925	   0.000	-750599937895083.12500000	-900719925474099.62500000 tCounts.uniform.microT_AAAAAA.1.24.mtx
390962	   0.000	-1501199875790165.75000000	-4503599627370497.00000000 tCounts.uniform.microT_AAAAAA.1.25.mtx
405999	   0.000	-750599937895083.12500000	             nan tCounts.uniform.microT_AAAAAA.1.26.mtx
421036	   0.000	-450359962737050.06250000	-562949953421312.50000000 tCounts.uniform.microT_AAAAAA.1.27.mtx
436073	   0.000	-1125899906842624.50000000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.28.mtx
451110	   0.000	-375299968947541.81250000	-1501199875790165.75000000 tCounts.uniform.microT_AAAAAA.1.29.mtx
466147	   0.000	-500399958596722.25000000	-562949953421312.50000000 tCounts.uniform.microT_AAAAAA.1.30.mtx
481184	   0.000	-900719925474099.62500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.31.mtx
496221	   0.000	-750599937895083.12500000	-900719925474099.62500000 tCounts.uniform.microT_AAAAAA.1.32.mtx
511258	   0.000	-562949953421312.50000000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.33.mtx
526295	   0.000	-750599937895083.12500000	-4503599627370497.00000000 tCounts.uniform.microT_AAAAAA.1.34.mtx
541332	   0.000	-750599937895083.12500000	-2251799813685248.50000000 tCounts.uniform.microT_AAAAAA.1.35.mtx
556369	   0.000	-1125899906842624.50000000	-1501199875790165.75000000 tCounts.uniform.microT_AAAAAA.1.36.mtx
571406	   0.000	-750599937895083.12500000	             nan tCounts.uniform.microT_AAAAAA.1.37.mtx
586443	   0.000	-500399958596722.25000000	-2251799813685248.50000000 tCounts.uniform.microT_AAAAAA.1.38.mtx
601480	   0.000	-1125899906842624.50000000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.39.mtx
616517	   0.000	-750599937895083.12500000	-1125899906842624.50000000 tCounts.uniform.microT_AAAAAA.1.40.mtx
