#ncounts	stability	slowest	next-slowest
174429200	   0.330	   6071.80207532	   3933.85201683
175932900	   0.333	   6025.37599853	   3502.46212936
177436600	   0.335	   6046.05308253	   3519.68673792
178940300	   0.335	   6072.07906828	   3542.16829990
180444000	   0.335	   6043.94072768	   3559.66432706
181947700	   0.335	   6038.04071583	   3585.70080938
183451400	   0.332	   6015.08200838	   3616.81420648
184955100	   0.333	   5987.79700739	   3645.82394138
186458800	   0.332	   5996.02204170	   3676.58655935
187962500	   0.334	   6036.05570986	   3707.84954182
189466200	   0.335	   6032.71251385	   3738.73463107
190969900	   0.335	   6038.20942721	   3770.78026095
192473600	   0.335	   6019.60791213	   3794.53649300
193977300	   0.336	   6030.17197196	   3819.14704096
195481000	   0.339	   6056.53132253	   3843.59535353
196984700	   0.341	   6105.01350085	   3883.58290034
198488400	   0.342	   6127.14947260	   3903.38553649
199992100	   0.346	   6142.49974071	   3928.02820156
201495800	   0.348	   6166.03304894	   3957.04885476
202999500	   0.347	   6180.95784134	   3977.97877803
204503200	   0.348	   6183.29610919	   4004.44282011
206006900	   0.349	   6203.31009189	   4022.46031955
207510600	   0.350	   6088.58872991	   3618.14733462
209014300	   0.350	   6128.53362532	   3634.49862859
210518000	   0.351	   6153.12542688	   3655.30549661
212021700	   0.352	   6184.20317561	   3675.13569878
213525400	   0.352	   6180.91182037	   3696.84824214
215029100	   0.354	   6206.70067340	   3722.92788317
216532800	   0.354	   6222.59240886	   3745.05962392
218036500	   0.356	   6247.51849555	   3774.36853363
219540200	   0.354	   6223.33106705	   3797.28429155
221043900	   0.356	   6235.13473691	   3812.42657348
222547600	   0.357	   6258.70710567	   3836.42426400
224051300	   0.357	   6290.16821188	   3864.39418188
225555000	   0.357	   6277.39762490	   3880.23260445
227058700	   0.358	   6285.69458361	   3902.34023144
228562400	   0.361	   6298.97871639	   3925.01722664
230066100	   0.361	   6317.18829253	   3940.54130965
231569800	   0.356	   6292.68530037	   3965.79324254
233073500	   0.355	   6289.83104481	   3989.19049299
234577200	   0.357	   6324.41339519	   4014.97094723
236080900	   0.357	   6340.46122110	   4040.98435603
237584600	   0.360	   6369.85838232	   4059.07975517
239088300	   0.360	   6383.07170741	   4079.06234559
240592000	   0.358	   6373.71414965	   4101.94956355
242095700	   0.359	   6399.50286601	   4130.00970061
243599400	   0.359	   6413.54580465	   4149.29017541
245103100	   0.360	   6409.32137486	   4167.57484349
